0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17		Somme
0,07692308	0,1428571	0	0,09090909	0,1	0,09090909	0,1111111	0,07692308	0,1	0,1428571	0,125	0,125	0,125	0,05882353	0,1428571	0,1	0,125	0,1111111		1,84528137
0,09090909	0,125	0,08333334	0,1666667	0,1111111	0,08333334	0,1111111	0,07692308	0,1111111	0,05882353	0,08333334	0,09090909	0,1111111	0	0,125	0,125	0,1428571	0,1428571		1,83939011
0,1	0,09090909	0,1	0,05882353	0,125	0,08333334	0,125	0,1428571	0,1428571	0	0,1111111	0,125	0,09090909	0,09090909	0,25	0,1	0,1	0,1428571		1,97956654
0,09090909	0,125	0,08333334	0	0,1111111	0,09090909	0,125	0,1111111	0,125	0,1111111	0,1428571	0,1	0,09090909	0,1	0,05882353	0,1111111	0,09090909	0,1666667		1,83476143
0,1	0,1	0,09090909	0,125	0,1111111	0,1111111	0,1428571	0,1	0,125	0,1111111	0,07692308	0,1111111	0,1	0,1	0	0,08333334	0,1	0,05882353		1,74729054
0,1428571	0,125	0,1111111	0,1428571	0,1	0,125	0,05882353	0,2	0,1428571	0,1428571	0,1	0,125	0,1428571	0,1	0,1111111	0,1111111	0,08333334	0		2,06477567
0,125	0,08333334	0,1111111	0,1428571	0,09090909	0,1111111	0	0,05882353	0,1	0,1666667	0,1111111	0,1428571	0,2	0,125	0,09090909	0,1111111	0,08333334	0,09090909		1,94504278
0,2	0,09090909	0,08333334	0,1	0,1111111	0,09090909	0,1428571	0	0,1	0,1111111	0,09090909	0,1666667	0,05882353	0,1	0,1111111	0,1666667	0,1	0,1		1,92440794
0,05882353	0,09090909	0,07142857	0,125	0,2	0,125	0,1	0,1	0,1428571	0,08333334	0,1	0,1666667	0	0,1	0,125	0,1428571	0,1666667	0,2		2,09854213
0	0,1	0,1	0,1	0,125	0,1111111	0,125	0,1111111	0,25	0,1	0,1	0,125	0,1111111	0,1111111	0,09090909	0,08333334	0,1	0,05882353		1,90251036
0,1428571	0,1	0,1111111	0,09090909	0,09090909	0,09090909	0,1666667	0,125	0,05882353	0,1111111	0,1111111	0,1111111	0,1666667	0,1	0,07692308	0,1	0,09090909	0		1,84501787
0,09090909	0,07692308	0,125	0,125	0,06666667	0,1	0,05882353	0,2	0	0,25	0,07692308	0,1	0,1666667	0,1428571	0,125	0,09090909	0,08333334	0,1111111		1,99012278
0,1	0,06666667	0,1	0,1111111	0,07692308	0,125	0	0,1666667	0,1111111	0,05882353	0,08333334	0,125	0,1111111	0,125	0,1111111	0,1	0,1	0,125		1,79685772
0,07692308	0,08333334	0,1666667	0,1428571	0,07692308	0,09090909	0,1666667	0,05882353	0,1	0	0,09090909	0,09090909	0,1111111	0,125	0,125	0,09090909	0,1	0,1		1,79694099
0,09090909	0,1	0,05882353	0,1111111	0,09090909	0,1111111	0,09090909	0	0,09090909	0,125	0,1111111	0,1	0,09090909	0,125	0,125	0,125	0,1111111	0,1		1,75781338
0,125	0,09090909	0	0,125	0,07142857	0,1666667	0,125	0,1	0,1111111	0,05882353	0,09090909	0,125	0,125	0,125	0,125	0,125	0,1428571	0,09090909		1,92361427
0,3333333	0,09090909	0,1111111	0,1111111	0,1	0,05882353	0,1	0,08333334	0,1	0	0,09090909	0,1111111	0,1111111	0,1666667	0,125	0,1428571	0,1111111	0,125		2,07238765
0,05882353	0,125	0,1	0,09090909	0,1428571	0	0,1111111	0,07142857	0,125	0,1428571	0,09090909	0,1111111	0,1111111	0,125	0,1111111	0,2	0,09090909	0,125		1,93313797
0	0,125	0,125	0,08333334	0,1428571	0,1111111	0,1428571	0,1	0,1111111	0,125	0,06666667	0,1666667	0,1111111	0,1428571	0,1	0,05882353	0,09090909	0,125		1,92830393
0,1111111	0,1666667	0,125	0,1428571	0,1666667	0,1	0,125	0,125	0,1111111	0,1666667	0,08333334	0,05882353	0,1428571	0,125	0,1	0	0,07692308	0,1		2,02701645
0,08333334	0,09090909	0,1	0,125	0,1111111	0,1111111	0,1666667	0,125	0,125	0,05882353	0,1111111	0	0,25	0,125	0,1	0,09090909	0,09090909	0,08333334		1,94821748
0,1	0,1	0,1	0,1111111	0,1111111	0,1428571	0,125	0,125	0,1111111	0	0,08333334	0,1111111	0,05882353	0,1428571	0,1111111	0,09090909	0,1	0,07142857		1,79576423
0,08333334	0,1111111	0,1111111	0,1	0,09090909	0,09090909	0,1	0,1428571	0,1	0,1111111	0,1	0,125	0	0,05882353	0,1111111	0,1111111	0,09090909	0,1111111		1,74940784
0,07692308	0,09090909	0,1428571	0,1666667	0,09090909	0,1111111	0,1666667	0,05882353	0,125	0,125	0,1666667	0,1666667	0,1	0	0,07142857	0,125	0,2	0,125		2,10962836
0,09090909	0,09090909	0,1111111	0,2	0,1	0,25	0,1111111	0	0,1428571	0,09090909	0,1666667	0,08333334	0,1	0,09090909	0,09090909	0,125	0,05882353	0,1		2,00344832
0,125	0,09090909	0,1	0,125	0,09090909	0,05882353	0,1428571	0,125	0,125	0,125	0,125	0,09090909	0,1111111	0,09090909	0,1	0,1428571	0	0,09090909		1,86019428
0,1	0,08333334	0,08333334	0,1	0,125	0	0,1666667	0,1428571	0,1	0,1	0,09090909	0,1	0,125	0,1666667	0,08333334	0,05882353	0,1	0,08333334		1,80925648
0,09090909	0,125	0,09090909	0,1	0,2	0,1666667	0,05882353	0,09090909	0,1111111	0,1428571	0,1428571	0,1111111	0,125	0,125	0,07142857	0	0,1666667	0,1		2,01924917
0,07692308	0,125	0,09090909	0,08333334	0,05882353	0,125	0	0,1428571	0,1428571	0,1428571	0,1111111	0,1428571	0,1111111	0,1666667	0,08333334	0,125	0,1666667	0,125		2,02030638
0,1111111	0,1666667	0,1	0,09090909	0	0,1428571	0,1666667	0,1428571	0,09090909	0,1111111	0,1111111	0,1111111	0,08333334	0,1111111	0,1	0,1111111	0,05882353	0,1428571		1,95254635
0,1111111	0,125	0,1111111	0,09090909	0,1666667	0,1428571	0,05882353	0,1666667	0,1	0,125	0,1428571	0,1111111	0,1428571	0,125	0,07142857	0,1428571	0	0,07692308		2,01117937
0,1428571	0,1111111	0,1	0,1	0,05882353	0,1428571	0	0,1	0,125	0,1111111	0,1	0,1666667	0,1111111	0,1666667	0,08333334	0,125	0,1428571	0,1		1,98739487
0,1428571	0,1666667	0,08333334	0,08333334	0	0,1	0,125	0,1428571	0,1	0,3333333	0,1111111	0,125	0,1428571	0,05882353	0,125	0,125	0,1111111	0,1111111		2,18739481
0,1428571	0,1111111	0,07142857	0,08333334	0,125	0,1111111	0,1111111	0,1428571	0,09090909	0,05882353	0,1428571	0,1111111	0,2	0	0,2	0,1666667	0,1111111	0,1111111		2,09139913
0,1111111	0,08333334	0,08333334	0,07142857	0,09090909	0,1	0,07692308	0,125	0,08333334	0	0,1428571	0,1111111	0,1	0,1428571	0,05882353	0,1	0,125	0,1111111		1,71713179
0,1111111	0,09090909	0,1111111	0,09090909	0,09090909	0,125	0,1111111	0,07692308	0,08333334	0,1666667	0,05882353	0,07692308	0,1428571	0,1	0	0,125	0,125	0,09090909		1,77749649
0,125	0,1	0,07142857	0,09090909	0,125	0,125	0,1428571	0,1	0,09090909	0,05882353	0	0,1	0,2	0,125	0,2	0,1666667	0,1111111	0,1111111		2,04381628
0,125	0,1	0,07142857	0,08333334	0,08333334	0,1	0,08333334	0,1	0,07692308	0	0,125	0,1111111	0,1428571	0,09090909	0,05882353	0,2	0,125	0,1111111		1,78816359
0,07692308	0,1428571	0,1	0,1111111	0,1	0,125	0,1	0,125	0,125	0,1666667	0,1666667	0,1428571	0,1428571	0,1111111	0	0,05882353	0,1666667	0,1666667		2,12820691
0,08333334	0,1428571	0,125	0,1111111	0,09090909	0,1666667	0,1111111	0,09090909	0,1111111	0,1	0,1111111	0,1666667	0,1111111	0,1666667	0,09090909	0	0,09090909	0,05882353		1,92920593
0,09090909	0,25	0,1111111	0,08333334	0,1111111	0,08333334	0,1428571	0,1428571	0,1111111	0,125	0,09090909	0,1111111	0,1	0,05882353	0,08333334	0,1428571	0,07142857	0		1,910086
0,08333334	0,05882353	0,125	0,09090909	0,125	0,08333334	0,1111111	0,25	0,09090909	0,125	0,1	0,1428571	0,1111111	0	0,09090909	0,1111111	0,09090909	0,125		1,91531697
0,1	0	0,1428571	0,1111111	0,1	0,09090909	0,125	0,05882353	0,08333334	0,1111111	0,1	0,1111111	0,09090909	0,1666667	0,1	0,1111111	0,1111111	0,08333334		1,79738769
0,08333334	0,2	0,1	0,09090909	0,1	0,1	0,1	0	0,1111111	0,1	0,09090909	0,1111111	0,09090909	0,05882353	0,07692308	0,1428571	0,09090909	0,1428571		1,79065271
0,09090909	0,05882353	0,08333334	0,125	0,1111111	0,1	0,1	0,1428571	0,1	0,125	0,1111111	0,1428571	0,08333334	0	0,1	0,25	0,1428571	0,1111111		1,9783039
0,07692308	0	0,1111111	0,1666667	0,125	0,09090909	0,09090909	0,1428571	0,1111111	0,125	0,1	0,2	0,1111111	0,1428571	0,1111111	0,05882353	0,1666667	0,1111111		2,04216789
0,1	0,25	0,09090909	0,1	0,09090909	0,09090909	0,125	0,09090909	0,1111111	0,125	0,1	0,05882353	0,07692308	0,1	0,1428571	0	0,1666667	0,09090909		1,91092696
0,09090909	0,05882353	0,1	0,1666667	0,08333334	0,1	0,1	0,125	0,1	0,08333334	0,125	0	0,07692308	0,125	0,1666667	0,2	0,1111111	0,125		1,93776688
0,1111111	0	0,1	0,1428571	0,1111111	0,08333334	0,1111111	0,1428571	0,125	0,1	0,1	0,2	0,09090909	0,125	0,125	0,05882353	0,1111111	0,08333334		1,9215579
0,1428571	0,2	0,1111111	0,125	0,1	0,1	0,2	0,2	0,08333334	0,1428571	0,1111111	0,05882353	0,07692308	0,07692308	0,1428571	0	0,1	0,09090909		2,06270562
0,1111111	0,125	0,1111111	0,1	0,08333334	0,1111111	0,05882353	0,1666667	0,08333334	0,1	0,1666667	0	0,125	0,09090909	0,1428571	0,1111111	0,125	0,1666667		1,9787009
0,09090909	0,1	0,09090909	0,2	0,2	0,1111111	0	0,1428571	0,09090909	0,09090909	0,125	0,125	0,125	0,125	0,1	0,09090909	0,2	0,05882353		2,06733718
0,1111111	0,1111111	0,1111111	0,1666667	0,1666667	0,1	0,1428571	0,1666667	0,1111111	0,1111111	0,1666667	0,125	0,1428571	0,1	0,1	0,09090909	0,05882353	0		2,08266912
0,1	0,09090909	0,125	0,05882353	0,1428571	0,1428571	0,125	0,1428571	0,1111111	0,1111111	0,1428571	0,1428571	0,1	0,1428571	0,09090909	0,1	0	0,1428571		2,01286361
0,1111111	0,1111111	0,1	0	0,1428571	0,1428571	0,1428571	0,1666667	0,1111111	0,07692308	0,1428571	0,09090909	0,1111111	0,1111111	0,1111111	0,08333334	0,25	0,05882353		2,06475074
0,125	0,1428571	0,125	0,125	0,125	0,1111111	0,1428571	0,1666667	0,1428571	0,07692308	0,125	0,1111111	0,1111111	0,1111111	0,1	0,1111111	0,05882353	0		2,01154011
0,1	0,1	0,1	0,1	0,1	0,125	0,125	0,05882353	0,1111111	0,1	0,09090909	0,2	0,125	0,1111111	0,07692308	0,2	0	0,1428571		1,966735
0,09090909	0,09090909	0,1	0,07142857	0,08333334	0,1	0,125	0	0,1428571	0,125	0,09090909	0,2	0,1	0,09090909	0,1	0,05882353	0,07692308	0,1111111		1,75811308
0,08333334	0,09090909	0,125	0,1111111	0,08333334	0,1111111	0,125	0,25	0,125	0,125	0,09090909	0,05882353	0,1428571	0,1111111	0,07692308	0	0,1111111	0,1		1,92153297
0,125	0,1111111	0,08333334	0,1111111	0,1	0,1111111	0,1	0,05882353	0,1111111	0,1111111	0,09090909	0	0,2	0,1111111	0,07692308	0,125	0,1111111	0,1111111		1,84887784
0,1666667	0,1428571	0,1111111	0,09090909	0,1	0,1	0,1	0	0,09090909	0,1666667	0,09090909	0,1111111	0,05882353	0,1	0,1111111	0,1	0,1428571	0,1111111		1,8950428
0,09090909	0,1666667	0,125	0,1	0,09090909	0,1	0,1428571	0,1	0,1666667	0,05882353	0,09090909	0,1111111	0	0,09090909	0,1	0,1	0,1	0,1111111		1,84587259
0,1666667	0,05882353	0,1428571	0,1	0,125	0,1111111	0,125	0,09090909	0,1428571	0	0,07692308	0,06666667	0,1666667	0,125	0,1111111	0,09090909	0,125	0,1428571		1,96835836
0,05882353	0	0,1	0,1	0,1428571	0,125	0,1428571	0,125	0,1111111	0,1666667	0,1	0,1	0,2	0,1	0,125	0,1	0,1111111	0,1428571		2,05128373
0	0,2	0,125	0,09090909	0,1	0,125	0,1	0,1111111	0,1111111	0,1428571	0,1428571	0,1	0,05882353	0,09090909	0,125	0,125	0,1	0,125		1,97357811
0,1428571	0,05882353	0,09090909	0,1666667	0,125	0,2	0,1428571	0,08333334	0,1428571	0,1428571	0,09090909	0,08333334	0	0,1111111	0,125	0,1111111	0,09090909	0,1		2,00853478
0,125	0	0,09090909	0,125	0,1111111	0,05882353	0,1	0,125	0,1	0,09090909	0,1111111	0,1	0,1111111	0,1111111	0,1	0,1111111	0,125	0,1111111		1,80730831
0,05882353	0,1428571	0,1111111	0,1	0,08333334	0	0,1428571	0,125	0,08333334	0,1666667	0,1	0,08333334	0,125	0,125	0,1428571	0,1	0,08333334	0,1111111		1,88461709
0	0,1666667	0,1	0,125	0,125	0,1111111	0,1666667	0,09090909	0,125	0,05882353	0,1111111	0,08333334	0,1	0,1428571	0,1	0,09090909	0,1111111	0,1		1,90849885
0,1428571	0,05882353	0,09090909	0,1666667	0,2	0,1666667	0,1666667	0,08333334	0,1666667	0	0,09090909	0,07692308	0,1428571	0,1	0,125	0,1428571	0,1111111	0,09090909		2,12315642
0,1111111	0	0,1111111	0,125	0,05882353	0,1	0,125	0,1	0,09090909	0,1	0,1	0,1111111	0,1	0,09090909	0,1	0,1111111	0,125	0,125		1,78508611
0,1	0,1111111	0,125	0,09090909	0	0,1	0,07692308	0,1666667	0,1	0,1111111	0,1428571	0,1111111	0,08333334	0,125	0,09090909	0,1111111	0,1111111	0,05882353		1,81597743
0,1428571	0,09090909	0,25	0,07692308	0,1666667	0,1	0,1111111	0,05882353	0,07692308	0,1111111	0,1	0,1	0,1	0,09090909	0,1111111	0,09090909	0,1111111	0		1,88936516
0,1428571	0,125	0,05882353	0,125	0,1428571	0,1111111	0,1428571	0	0,08333334	0,125	0,1111111	0,1	0,09090909	0,1	0,1111111	0,09090909	0,125	0,125		1,91087965
0,05882353	0,1428571	0	0,25	0,1	0,125	0,09090909	0,125	0,08333334	0,125	0,1111111	0,09090909	0,1111111	0,09090909	0,2	0,1111111	0,1	0,07692308		1,99299762
0	0,1666667	0,1111111	0,05882353	0,08333334	0,125	0,08333334	0,1	0,1111111	0,125	0,125	0,1428571	0,1	0,08333334	0,1428571	0,08333334	0,09090909	0,08333334		1,81600242
0,125	0,05882353	0,1111111	0	0,125	0,1428571	0,08333334	0,1111111	0,1428571	0,09090909	0,125	0,1111111	0,09090909	0,1111111	0,1	0,1	0,1666667	0,1111111		1,90691145
0,07692308	0	0,1111111	0,1	0,2	0,1428571	0,1111111	0,1111111	0,125	0,07692308	0,09090909	0,1	0,09090909	0,1666667	0,07142857	0,1	0,05882353	0,1111111		1,84488464
0,07692308	0,1111111	0,1	0,1	0,05882353	0,1111111	0,1111111	0,09090909	0,125	0,07692308	0,08333334	0,1	0,07142857	0,25	0,1111111	0,1428571	0	0,1111111		1,83175329
0,07692308	0,09090909	0,07692308	0,07142857	0	0,08333334	0,1666667	0,1	0,09090909	0,07692308	0,1111111	0,1111111	0,07692308	0,05882353	0,09090909	0,25	0,2	0,1428571		1,87575103
