0	1	2		total		moyenne	max	min
0,4	0,5	1,428571		2,328571		2,02722766654804	3,111111	0,8761905
0,4	0,5	1,111111		2,011111				
0,5	0,6666667	0,9090909		2,0757576				
0,5	1	0,7692308		2,2692308				
0	1,428571	0		1,428571				
0,4	1,111111	0,6666667		2,1777777				
0,5	0,9090909	0,6666667		2,0757576				
0,5	0,7692308	0,6666667		1,9358975				
0,6666667	0,6666667	0,4		1,7333334				
0,6666667	0,5882353	0,5		1,754902				
1,428571	0	0,6666667		2,0952377				
1,111111	1	0,5		2,611111				
0,9090909	0,5	0,5		1,9090909				
0,7692308	0,4	0,6666667		1,8358975				
0,6666667	0,4	1		2,0666667				
0	0,5	1,428571		1,928571				
0,2857143	0,6666667	1,111111		2,063492				
0,25	1	0,9090909		2,1590909				
0,3333333	1,428571	0		1,7619043				
0,2857143	1,111111	0		1,3968253				
0,25	0,9090909	1		2,1590909				
0,3333333	0	1,428571		1,7619043				
0,6666667	0,6666667	1,111111		2,4444444				
0,5	0,4	0,9090909		1,8090909				
0,4	0,5	0,7692308		1,6692308				
0,4	0,5	0,6666667		1,5666667				
0,5	1	0,5882353		2,0882353				
0,4	1,428571	0		1,828571				
0,6666667	1,111111	1		2,7777777				
1	0,9090909	1		2,9090909				
1	0	1,428571		2,428571				
0,6666667	0,6666667	1,111111		2,4444444				
1	1	0,9090909		2,9090909				
0,6666667	1,428571	0		2,0952377				
0,6666667	1,111111	0,3333333		2,111111				
0,5	0,9090909	0,2857143		1,6948052				
0,5	0,7692308	0,3333333		1,6025641				
0,4	0,6666667	0,4		1,4666667				
0,6666667	0,5882353	0,3333333		1,5882353				
1,428571	0	0,6666667		2,0952377				
1,111111	0,4	1		2,511111				
0,9090909	0,3333333	0,6666667		1,9090909				
0,7692308	0,4	0,5		1,6692308				
0,6666667	0,5	1		2,1666667				
0	0,5	1,428571		1,928571				
1	0,3333333	1,111111		2,4444443				
0,6666667	0,5	0,9090909		2,0757576				
0,6666667	0,3333333	0,7692308		1,7692308				
0	0,4	0,6666667		1,0666667				
0	0,3333333	0,5882353		0,9215686				
0	0,5	0,5263158		1,0263158				
1	0,5	0,4761905		1,9761905				
1,428571	0,4	0		1,828571				
1,111111	0,5	0,5		2,111111				
0,9090909	0,5	0,4		1,8090909				
0,7692308	0,6666667	0,3333333		1,7692308				
0,6666667	0,5	1		2,1666667				
0	1	1,428571		2,428571				
0,4	0	1,111111		1,511111				
0,5	0,6666667	0,9090909		2,0757576				
0,6666667	0,4	0,7692308		1,8358975				
0,6666667	0,3333333	0,6666667		1,6666667				
0,5	0,5	0,5882353		1,5882353				
0	0,5	0,5263158		1,0263158				
0	0,6666667	0,4761905		1,1428572				
0,5	1,428571	0		1,928571				
0,5	1,111111	0,5		2,111111				
0,5	0,9090909	0,5		1,9090909				
0,5	0,7692308	1		2,2692308				
0,4	0	1,428571		1,828571				
0,5	0,6666667	1,111111		2,2777777				
0,5	0	0,9090909		1,4090909				
1	0	0,7692308		1,7692308				
1,428571	0,6666667	0		2,0952377				
1,111111	0,6666667	0,5		2,2777777				
0,9090909	0,5	0,6666667		2,0757576				
0,7692308	0,4	0,6666667		1,8358975				
0,6666667	0,4	0		1,0666667				
0,5882353	0,6666667	1		2,254902				
0	0,6666667	1,428571		2,0952377				
1	0	1,111111		2,111111				
0	0	0,9090909		0,9090909				
1	1	0,7692308		2,7692308				
0,5	1,428571	0		1,928571				
1	1,111111	0,6666667		2,7777777				
1	0,9090909	0,6666667		2,5757576				
1,428571	0	0,6666667		2,0952377				
1,111111	0	0,3333333		1,4444443				
0,9090909	1	0,3333333		2,2424242				
0	1,428571	0,5		1,928571				
0,4	1,111111	0,4		1,911111				
0,4	0,9090909	0,3333333		1,6424242				
0,6666667	0,7692308	0,3333333		1,7692308				
0,6666667	0,6666667	0,6666667		2,0000001				
0,2857143	0	1,428571		1,7142853				
1	1	1,111111		3,111111				
0,6666667	1	0,9090909		2,5757576				
1	1,428571	0		2,428571				
0,5	1,111111	0,5		2,111111				
0,5	0,9090909	0,5		1,9090909				
0,6666667	0,7692308	0,6666667		2,1025642				
1	0,6666667	0,6666667		2,3333334				
1,428571	0	0,4		1,828571				
1,111111	0	0,4		1,511111				
0,9090909	0	1		1,9090909				
0	0,6666667	1,428571		2,0952377				
1	0,6666667	1,111111		2,7777777				
0,6666667	0,6666667	0,9090909		2,2424243				
0,5	1	0,7692308		2,2692308				
0,4	1,428571	0		1,828571				
1	1,111111	0,6666667		2,7777777				
1	0,9090909	0,6666667		2,5757576				
1,428571	0	0,5		1,928571				
1,111111	1	0,6666667		2,7777777				
0,9090909	0,6666667	0		1,5757576				
0,7692308	0,4	1		2,1692308				
0	0,3333333	1,428571		1,7619043				
0,6666667	0,2857143	1,111111		2,063492				
0,6666667	0,6666667	0,9090909		2,2424243				
0,5	0,6666667	0,7692308		1,9358975				
0,4	0,5	0,6666667		1,5666667				
0,6666667	1	0,5882353		2,254902				
0,4	1,428571	0		1,828571				
0,5	1,111111	0,6666667		2,2777777				
0,5	0,9090909	0		1,4090909				
0,5	0,7692308	1		2,2692308				
0,5	0	1,428571		1,928571				
1	0	1,111111		2,111111				
1	1	0,9090909		2,9090909				
1	1,428571	0		2,428571				
1	1,111111	0,6666667		2,7777777				
1	0,9090909	1		2,9090909				
1	0	1,428571		2,428571				
1	0,4	1,111111		2,511111				
1	1	0,9090909		2,9090909				
1	1,428571	0		2,428571				
1	1,111111	1		3,111111				
0	0,9090909	1		1,9090909				
1	0	1,428571		2,428571				
0,6666667	0,6666667	1,111111		2,4444444				
1	0,6666667	0,9090909		2,5757576				
1,428571	0,6666667	0		2,0952377				
1,111111	0,4	1		2,511111				
0,9090909	1	0,6666667		2,5757576				
0	1,428571	1		2,428571				
0,4	1,111111	0,6666667		2,1777777				
0,5	0,9090909	1		2,4090909				
0,3333333	0	1,428571		1,7619043				
0,4	0,6666667	1,111111		2,1777777				
0,4	0	0,9090909		1,3090909				
0,6666667	1	0,7692308		2,4358975				
0,4	1,428571	0		1,828571				
0,5	1,111111	0,6666667		2,2777777				
1	0,9090909	0,6666667		2,5757576				
1,428571	0	0,5		1,928571				
1,111111	1	0,6666667		2,7777777				
0,9090909	1	0,4		2,3090909				
0	1,428571	0,5		1,928571				
0,4	1,111111	0,4		1,911111				
0,4	0,9090909	0,4		1,7090909				
0,5	0,7692308	0,5		1,7692308				
0	0,6666667	0,5		1,1666667				
0	0,5882353	0,6666667		1,254902				
1	0	1,428571		2,428571				
0,6666667	0,6666667	1,111111		2,4444444				
0,6666667	0	0,9090909		1,5757576				
0,6666667	1	0,7692308		2,4358975				
0,5	1,428571	0		1,928571				
1	1,111111	0,5		2,611111				
0	0,9090909	0,6666667		1,5757576				
0	0,7692308	0,4		1,1692308				
1	0,6666667	0,6666667		2,3333334				
1,428571	0	0,3333333		1,7619043				
1,111111	0,6666667	0,4		2,1777777				
0,9090909	0,6666667	0,6666667		2,2424243				
0,7692308	0,6666667	0,6666667		2,1025642				
0,6666667	0,5	0,5		1,6666667				
0,5882353	0,5	0,5		1,5882353				
0,5263158	0,5	0,6666667		1,6929825				
0	0,5	1,428571		1,928571				
0,5	0,4	1,111111		2,011111				
0	0,5	0,9090909		1,4090909				
0,6666667	0,5	0,7692308		1,9358975				
0,6666667	0,6666667	0,6666667		2,0000001				
0,5	0	0,5882353		1,0882353				
0,4	0	0,5263158		0,9263158				
0,4	0	0,4761905		0,8761905				
0,6666667	0,5	0,4347826		1,6014493				
1,428571	0,5	0		1,928571				
1,111111	0	1		2,111111				
0,9090909	1	0,6666667		2,5757576				
0	1,428571	0,5		1,928571				
0,5	1,111111	1		2,611111				
0,6666667	0,9090909	0,5		2,0757576				
1	0,7692308	0,6666667		2,4358975				
1,428571	0	0,4		1,828571				
1,111111	0,6666667	0,3333333		2,111111				
0,9090909	0,6666667	0,3333333		1,9090909				
0,7692308	0,5	0,5		1,7692308				
0,6666667	0	0,5		1,1666667				
0,5882353	0	0,5		1,0882353				
0,5263158	0,6666667	0,5		1,6929825				
0	1,428571	0,6666667		2,0952377				
0,6666667	1,111111	0,4		2,1777777				
0,6666667	0,9090909	0,4		1,9757576				
0,6666667	0,7692308	0,4		1,8358975				
0,6666667	0,6666667	0,5		1,8333334				
1	0,5882353	0,5		2,0882353				
1,428571	0	1		2,428571				
1,111111	1	1		3,111111				
0,9090909	0	0,4		1,3090909				
0,7692308	0,6666667	0,5		1,9358975				
0,6666667	0,5	0,5		1,6666667				
0,5882353	0,5	0,6666667		1,754902				
0	0,4	1,428571		1,828571				
0,5	0,4	1,111111		2,011111				
0,4	0,4	0,9090909		1,7090909				
0,4	0,5	0,7692308		1,6692308				
1	0,4	0,6666667		2,0666667				
1,428571	0,4	0		1,828571				
1,111111	1	0,6666667		2,7777777				
0,9090909	1	0,6666667		2,5757576				
0	1,428571	0,4		1,828571				
1	1,111111	0,3333333		2,4444443				
0,5	0,9090909	0,4		1,8090909				
0,6666667	0,7692308	0,4		1,8358975				
1	0,6666667	0,3333333		2				
1,428571	0	0,6666667		2,0952377				
1,111111	0	0,5		1,611111				
0,9090909	1	0,6666667		2,5757576				
0	1,428571	1		2,428571				
0,6666667	1,111111	1		2,7777777				
1	0,9090909	0		1,9090909				
1,428571	0	0,4		1,828571				
1,111111	0,6666667	0,4		2,1777777				
0,9090909	1	0,5		2,4090909				
0	1,428571	0		1,428571				
1	1,111111	0		2,111111				
1	0,9090909	1		2,9090909				
0,6666667	0	1,428571		2,0952377				
0,5	1	1,111111		2,611111				
0,5	1	0,9090909		2,4090909				
1	1,428571	0		2,428571				
1	1,111111	0,6666667		2,7777777				
0,4	0,9090909	1		2,3090909				
0,3333333	0	1,428571		1,7619043				
0,3333333	1	1,111111		2,4444443				
0,3333333	1	0,9090909		2,2424242				
0,2857143	1,428571	0		1,7142853				
0,2857143	1,111111	0		1,3968253				
0,5	0,9090909	0		1,4090909				
0,4	0,7692308	0		1,1692308				
0,3333333	0,6666667	0		1				
0,6666667	0,5882353	1		2,254902				
0,6666667	0	1,428571		2,0952377				
0,4	0,6666667	1,111111		2,1777777				
1	0,6666667	0,9090909		2,5757576				
1,428571	0,5	0		1,928571				
1,111111	0,5	1		2,611111				
0,9090909	0,5	1		2,4090909				
0	0,4	1,428571		1,828571				
1	0,4	1,111111		2,511111				
0,5	0,5	0,9090909		1,9090909				
0,5	0,4	0,7692308		1,6692308				
0,4	0,3333333	0,6666667		1,4				
0,4	0	0,5882353		0,9882353				
0,6666667	0,6666667	0,5263158		1,8596492				
0,6666667	1,428571	0		2,0952377				
0,6666667	1,111111	0,4		2,1777777				
0,5	0,9090909	0,5		1,9090909				
0,6666667	0,7692308	0,5		1,9358975				
1	0,6666667	0,5		2,1666667				
1,428571	0	0		1,428571				
1,111111	0,6666667	0		1,7777777				
0,9090909	0,5	1		2,4090909				
0	0,6666667	1,428571		2,0952377				
1	1	1,111111		3,111111				
1	0,5	0,9090909		2,4090909				
1,428571	0,5	0		1,928571				
1,111111	0,3333333	0,6666667		2,111111				
0,9090909	0,5	1		2,4090909				
