0;1;2
0,4;0,5;1,428571
0,4;0,5;1,111111
0,5;0,6666667;0,9090909
0,5;1;0,7692308
0;1,428571;0
0,4;1,111111;0,6666667
0,5;0,9090909;0,6666667
0,5;0,7692308;0,6666667
0,6666667;0,6666667;0,4
0,6666667;0,5882353;0,5
1,428571;0;0,6666667
1,111111;1;0,5
0,9090909;0,5;0,5
0,7692308;0,4;0,6666667
0,6666667;0,4;1
0;0,5;1,428571
0,2857143;0,6666667;1,111111
0,25;1;0,9090909
0,3333333;1,428571;0
0,2857143;1,111111;0
0,25;0,9090909;1
0,3333333;0;1,428571
0,6666667;0,6666667;1,111111
0,5;0,4;0,9090909
0,4;0,5;0,7692308
0,4;0,5;0,6666667
0,5;1;0,5882353
0,4;1,428571;0
0,6666667;1,111111;1
1;0,9090909;1
1;0;1,428571
0,6666667;0,6666667;1,111111
1;1;0,9090909
0,6666667;1,428571;0
0,6666667;1,111111;0,3333333
0,5;0,9090909;0,2857143
0,5;0,7692308;0,3333333
0,4;0,6666667;0,4
0,6666667;0,5882353;0,3333333
1,428571;0;0,6666667
1,111111;0,4;1
0,9090909;0,3333333;0,6666667
0,7692308;0,4;0,5
0,6666667;0,5;1
0;0,5;1,428571
1;0,3333333;1,111111
0,6666667;0,5;0,9090909
0,6666667;0,3333333;0,7692308
0;0,4;0,6666667
0;0,3333333;0,5882353
0;0,5;0,5263158
1;0,5;0,4761905
1,428571;0,4;0
1,111111;0,5;0,5
0,9090909;0,5;0,4
0,7692308;0,6666667;0,3333333
0,6666667;0,5;1
0;1;1,428571
0,4;0;1,111111
0,5;0,6666667;0,9090909
0,6666667;0,4;0,7692308
0,6666667;0,3333333;0,6666667
0,5;0,5;0,5882353
0;0,5;0,5263158
0;0,6666667;0,4761905
0,5;1,428571;0
0,5;1,111111;0,5
0,5;0,9090909;0,5
0,5;0,7692308;1
0,4;0;1,428571
0,5;0,6666667;1,111111
0,5;0;0,9090909
1;0;0,7692308
1,428571;0,6666667;0
1,111111;0,6666667;0,5
0,9090909;0,5;0,6666667
0,7692308;0,4;0,6666667
0,6666667;0,4;0
0,5882353;0,6666667;1
0;0,6666667;1,428571
1;0;1,111111
0;0;0,9090909
1;1;0,7692308
0,5;1,428571;0
1;1,111111;0,6666667
1;0,9090909;0,6666667
1,428571;0;0,6666667
1,111111;0;0,3333333
0,9090909;1;0,3333333
0;1,428571;0,5
0,4;1,111111;0,4
0,4;0,9090909;0,3333333
0,6666667;0,7692308;0,3333333
0,6666667;0,6666667;0,6666667
0,2857143;0;1,428571
1;1;1,111111
0,6666667;1;0,9090909
1;1,428571;0
0,5;1,111111;0,5
0,5;0,9090909;0,5
0,6666667;0,7692308;0,6666667
1;0,6666667;0,6666667
1,428571;0;0,4
1,111111;0;0,4
0,9090909;0;1
0;0,6666667;1,428571
1;0,6666667;1,111111
0,6666667;0,6666667;0,9090909
0,5;1;0,7692308
0,4;1,428571;0
1;1,111111;0,6666667
1;0,9090909;0,6666667
1,428571;0;0,5
1,111111;1;0,6666667
0,9090909;0,6666667;0
0,7692308;0,4;1
0;0,3333333;1,428571
0,6666667;0,2857143;1,111111
0,6666667;0,6666667;0,9090909
0,5;0,6666667;0,7692308
0,4;0,5;0,6666667
0,6666667;1;0,5882353
0,4;1,428571;0
0,5;1,111111;0,6666667
0,5;0,9090909;0
0,5;0,7692308;1
0,5;0;1,428571
1;0;1,111111
1;1;0,9090909
1;1,428571;0
1;1,111111;0,6666667
1;0,9090909;1
1;0;1,428571
1;0,4;1,111111
1;1;0,9090909
1;1,428571;0
1;1,111111;1
0;0,9090909;1
1;0;1,428571
0,6666667;0,6666667;1,111111
1;0,6666667;0,9090909
1,428571;0,6666667;0
1,111111;0,4;1
0,9090909;1;0,6666667
0;1,428571;1
0,4;1,111111;0,6666667
0,5;0,9090909;1
0,3333333;0;1,428571
0,4;0,6666667;1,111111
0,4;0;0,9090909
0,6666667;1;0,7692308
0,4;1,428571;0
0,5;1,111111;0,6666667
1;0,9090909;0,6666667
1,428571;0;0,5
1,111111;1;0,6666667
0,9090909;1;0,4
0;1,428571;0,5
0,4;1,111111;0,4
0,4;0,9090909;0,4
0,5;0,7692308;0,5
0;0,6666667;0,5
0;0,5882353;0,6666667
1;0;1,428571
0,6666667;0,6666667;1,111111
0,6666667;0;0,9090909
0,6666667;1;0,7692308
0,5;1,428571;0
1;1,111111;0,5
0;0,9090909;0,6666667
0;0,7692308;0,4
1;0,6666667;0,6666667
1,428571;0;0,3333333
1,111111;0,6666667;0,4
0,9090909;0,6666667;0,6666667
0,7692308;0,6666667;0,6666667
0,6666667;0,5;0,5
0,5882353;0,5;0,5
0,5263158;0,5;0,6666667
0;0,5;1,428571
0,5;0,4;1,111111
0;0,5;0,9090909
0,6666667;0,5;0,7692308
0,6666667;0,6666667;0,6666667
0,5;0;0,5882353
0,4;0;0,5263158
0,4;0;0,4761905
0,6666667;0,5;0,4347826
1,428571;0,5;0
1,111111;0;1
0,9090909;1;0,6666667
0;1,428571;0,5
0,5;1,111111;1
0,6666667;0,9090909;0,5
1;0,7692308;0,6666667
1,428571;0;0,4
1,111111;0,6666667;0,3333333
0,9090909;0,6666667;0,3333333
0,7692308;0,5;0,5
0,6666667;0;0,5
0,5882353;0;0,5
0,5263158;0,6666667;0,5
0;1,428571;0,6666667
0,6666667;1,111111;0,4
0,6666667;0,9090909;0,4
0,6666667;0,7692308;0,4
0,6666667;0,6666667;0,5
1;0,5882353;0,5
1,428571;0;1
1,111111;1;1
0,9090909;0;0,4
0,7692308;0,6666667;0,5
0,6666667;0,5;0,5
0,5882353;0,5;0,6666667
0;0,4;1,428571
0,5;0,4;1,111111
0,4;0,4;0,9090909
0,4;0,5;0,7692308
1;0,4;0,6666667
1,428571;0,4;0
1,111111;1;0,6666667
0,9090909;1;0,6666667
0;1,428571;0,4
1;1,111111;0,3333333
0,5;0,9090909;0,4
0,6666667;0,7692308;0,4
1;0,6666667;0,3333333
1,428571;0;0,6666667
1,111111;0;0,5
0,9090909;1;0,6666667
0;1,428571;1
0,6666667;1,111111;1
1;0,9090909;0
1,428571;0;0,4
1,111111;0,6666667;0,4
0,9090909;1;0,5
0;1,428571;0
1;1,111111;0
1;0,9090909;1
0,6666667;0;1,428571
0,5;1;1,111111
0,5;1;0,9090909
1;1,428571;0
1;1,111111;0,6666667
0,4;0,9090909;1
0,3333333;0;1,428571
0,3333333;1;1,111111
0,3333333;1;0,9090909
0,2857143;1,428571;0
0,2857143;1,111111;0
0,5;0,9090909;0
0,4;0,7692308;0
0,3333333;0,6666667;0
0,6666667;0,5882353;1
0,6666667;0;1,428571
0,4;0,6666667;1,111111
1;0,6666667;0,9090909
1,428571;0,5;0
1,111111;0,5;1
0,9090909;0,5;1
0;0,4;1,428571
1;0,4;1,111111
0,5;0,5;0,9090909
0,5;0,4;0,7692308
0,4;0,3333333;0,6666667
0,4;0;0,5882353
0,6666667;0,6666667;0,5263158
0,6666667;1,428571;0
0,6666667;1,111111;0,4
0,5;0,9090909;0,5
0,6666667;0,7692308;0,5
1;0,6666667;0,5
1,428571;0;0
1,111111;0,6666667;0
0,9090909;0,5;1
0;0,6666667;1,428571
1;1;1,111111
1;0,5;0,9090909
1,428571;0,5;0
1,111111;0,3333333;0,6666667
0,9090909;0,5;1
